                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.3807,                0.81816,                 1.1404,                      1,                0.90273,                  0.995,                0.60683,                 1.4887,                0.85965,                 1.1782,              0.0016202,              0.0016202,              0.0016202
                     37,                 1.2561,                0.76151,                 1.0753,                      1,                0.99777,                  0.995,                0.60908,                 1.5307,                0.62511,                  1.196,              0.0016189,              0.0016189,              0.0016189
                     38,                 1.2675,                 0.7284,                  1.078,                0.89043,                      1,                  0.984,                0.50816,                 1.7183,                0.68612,                   1.26,              0.0016175,              0.0016175,              0.0016175
                     39,                 1.2682,                 0.7528,                 1.0433,                0.89315,                      1,                   0.94,                0.52467,                 1.5595,                0.77242,                 1.1952,              0.0016161,              0.0016161,              0.0016161
                     40,                 1.2751,                 0.7658,                 1.0846,                0.89056,                      1,                  0.973,                 0.5517,                 1.5152,                0.69552,                 1.1831,              0.0016147,              0.0016147,              0.0016147
                     41,                 1.2702,                 0.7624,                 1.1101,                0.88908,                      1,                  0.951,                0.56386,                 1.5942,                0.75185,                 1.2281,              0.0016134,              0.0016134,              0.0016134
                     42,                 1.3213,                0.76253,                  1.095,                0.86781,                      1,                  0.951,                  0.595,                 1.4648,                0.82976,                 1.1942,               0.001612,               0.001612,               0.001612
                     43,                 1.2562,                0.72792,                 1.0838,                0.89426,                      1,                  0.973,                0.61029,                  1.418,                 0.6869,                  1.183,              0.0016106,              0.0016106,              0.0016106
                     44,                 1.3149,                0.75823,                 1.1113,                0.88963,                      1,                  0.962,                0.56155,                 1.4985,                0.69018,                 1.1846,              0.0016092,              0.0016092,              0.0016092
                     45,                 1.2482,                0.75276,                 1.0775,                0.89385,                      1,                  0.951,                0.60364,                 1.3997,                0.64946,                 1.1485,              0.0016079,              0.0016079,              0.0016079
                     46,                 1.2938,                0.73295,                 1.0952,                0.89058,                      1,                   0.94,                0.62114,                 1.2602,                0.64318,                 1.1039,              0.0016065,              0.0016065,              0.0016065
                     47,                 1.3039,                0.76062,                 1.1215,                0.89055,                      1,                  0.907,                0.57634,                 1.3981,                0.70208,                 1.1446,              0.0016051,              0.0016051,              0.0016051
                     48,                  1.317,                0.71654,                 1.1124,                0.89345,                      1,                  0.984,                0.69465,                 1.2636,                0.59581,                 1.0999,              0.0016037,              0.0016037,              0.0016037
                     49,                 1.2345,                 0.6996,                 1.0787,                      1,                0.99251,                  0.995,                0.61026,                 1.4559,                0.62935,                 1.1986,              0.0016024,              0.0016024,              0.0016024
                     50,                 1.3348,                0.72881,                 1.1042,                0.89744,                      1,                  0.995,                0.63589,                 1.3247,                 0.6115,                 1.1123,               0.001601,               0.001601,               0.001601
                     51,                 1.2417,                0.69978,                 1.0877,                0.89895,                0.98951,                  0.962,                0.58772,                 1.3695,                0.75981,                 1.1227,              0.0015996,              0.0015996,              0.0015996
