                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1517,                 1.1024,                 1.0343,                 0.7276,                      1,                  0.995,                0.54725,                 1.8229,                  1.688,                 1.3804,              0.0016216,              0.0016216,              0.0016216
                     36,                 1.1187,                 1.0338,                 1.0283,                0.81558,                      1,                  0.995,                0.64675,                 1.6108,                  1.342,                 1.3202,              0.0016202,              0.0016202,              0.0016202
                     37,                 1.1032,                 1.0361,                 1.0143,                0.81558,                      1,                  0.995,                0.64675,                 1.6108,                  1.342,                 1.3202,              0.0016189,              0.0016189,              0.0016189
                     38,                 1.1987,                 1.0817,                 1.0601,                0.87781,                      1,                  0.995,                0.64675,                  1.494,                 1.4057,                 1.2903,              0.0016175,              0.0016175,              0.0016175
                     39,                 1.1328,                 1.0655,                 1.0593,                 0.8842,                      1,                  0.995,                  0.597,                  1.466,                 1.4736,                 1.2982,              0.0016161,              0.0016161,              0.0016161
                     40,                 1.1234,                 1.0507,                 1.0195,                0.85867,                      1,                  0.995,                  0.597,                 1.4401,                  1.264,                  1.182,              0.0016147,              0.0016147,              0.0016147
                     41,                 1.1456,                0.97105,                 1.0496,                0.85867,                      1,                  0.995,                  0.597,                 1.4401,                  1.264,                  1.182,              0.0016134,              0.0016134,              0.0016134
                     42,                 1.1214,                 1.0499,                 1.0294,                0.85517,                      1,                  0.995,                  0.597,                   1.38,                 1.1699,                 1.1097,               0.001612,               0.001612,               0.001612
                     43,                  1.122,                0.98348,                 1.0708,                0.90619,                      1,                  0.995,                0.64675,                 1.3086,                 1.1833,                 1.1289,              0.0016106,              0.0016106,              0.0016106
                     44,                 1.0826,                0.99893,                  1.012,                0.87147,                      1,                  0.995,                  0.597,                 1.3936,                 1.2772,                 1.2118,              0.0016092,              0.0016092,              0.0016092
                     45,                 1.1498,                0.97447,                 1.0486,                0.87147,                      1,                  0.995,                  0.597,                 1.3936,                 1.2772,                 1.2118,              0.0016079,              0.0016079,              0.0016079
                     46,                 1.1379,                 1.0735,                 1.0268,                0.86004,                      1,                  0.995,                0.54725,                 1.5089,                 1.2108,                  1.317,              0.0016065,              0.0016065,              0.0016065
                     47,                 1.1689,                 1.0047,                 1.0553,                 0.9142,                      1,                  0.995,                  0.597,                 1.5106,                 1.2394,                 1.3834,              0.0016051,              0.0016051,              0.0016051
                     48,                 1.1651,                0.94781,                 1.0204,                0.96688,                      1,                  0.995,                 0.6965,                 1.4964,                 1.2369,                 1.3142,              0.0016037,              0.0016037,              0.0016037
                     49,                 1.1101,                0.99475,                 1.0528,                0.96688,                      1,                  0.995,                 0.6965,                 1.4964,                 1.2369,                 1.3142,              0.0016024,              0.0016024,              0.0016024
                     50,                 1.1001,                 1.0622,                 1.0466,                 0.8607,                      1,                  0.995,                 0.6965,                 1.5048,                 1.2844,                 1.2477,               0.001601,               0.001601,               0.001601
                     51,                 1.0656,                 1.0383,                 1.0155,                0.90806,                      1,                  0.995,                  0.597,                 1.5343,                 1.2348,                 1.2794,              0.0015996,              0.0015996,              0.0015996
                     52,                 1.0759,                 0.9993,                 1.0084,                 0.9326,                      1,                  0.995,                0.64675,                 1.2889,                 1.1438,                    1.2,              0.0015982,              0.0015982,              0.0015982
                     53,                 1.0646,                0.93778,                 1.0595,                 0.9326,                      1,                  0.995,                0.64675,                 1.2889,                 1.1438,                    1.2,              0.0015969,              0.0015969,              0.0015969
                     54,                 1.1374,                0.92548,                 1.0603,                0.93848,                      1,                  0.995,                 0.6965,                 1.3717,                  1.162,                 1.2268,              0.0015955,              0.0015955,              0.0015955
                     55,                 1.1391,                0.98125,                  1.062,                0.93178,                      1,                  0.995,                0.64675,                 1.4124,                 1.0284,                 1.2333,              0.0015941,              0.0015941,              0.0015941
                     56,                  1.154,                0.93778,                 1.0472,                0.92743,                      1,                  0.995,                0.64675,                 1.5112,                 1.0746,                 1.2084,              0.0015927,              0.0015927,              0.0015927
                     57,                 1.1305,                0.93689,                 1.0015,                0.92743,                      1,                  0.995,                0.64675,                 1.5112,                 1.0746,                 1.2084,              0.0015914,              0.0015914,              0.0015914
                     58,                 1.1807,                0.94259,                 1.0538,                0.93214,                      1,                  0.995,                  0.597,                 1.5327,                 1.0678,                 1.1629,                0.00159,                0.00159,                0.00159
                     59,                 1.1428,                0.87699,                 1.0197,                0.93501,                      1,                  0.995,                0.64675,                 1.5627,                 1.0354,                 1.1785,              0.0015886,              0.0015886,              0.0015886
                     60,                 1.1804,                0.92047,                 1.0616,                0.95415,                      1,                  0.995,                0.64675,                 1.4982,                 1.0036,                 1.2034,              0.0015872,              0.0015872,              0.0015872
                     61,                 1.1404,                0.89724,                 1.0065,                0.95415,                      1,                  0.995,                0.64675,                 1.4982,                 1.0036,                 1.2034,              0.0015859,              0.0015859,              0.0015859
                     62,                 1.1144,                0.94409,                  1.037,                0.96507,                      1,                  0.995,                0.74625,                 1.3811,                 1.1026,                 1.1828,              0.0015845,              0.0015845,              0.0015845
                     63,                 1.0729,                  0.886,                 1.0027,                0.96963,                      1,                  0.995,                0.74625,                 1.3017,                 1.2699,                 1.1368,              0.0015831,              0.0015831,              0.0015831
                     64,                 1.2312,                0.96649,                 1.0664,                0.95999,                      1,                  0.995,                 0.6965,                 1.2996,                 1.0455,                 1.1074,              0.0015817,              0.0015817,              0.0015817
                     65,                 1.1308,                0.83864,                 1.0143,                0.95999,                      1,                  0.995,                 0.6965,                 1.2996,                 1.0455,                 1.1074,              0.0015804,              0.0015804,              0.0015804
                     66,                 1.1712,                0.90633,                 1.0467,                0.91577,                      1,                  0.995,                  0.796,                 1.1931,                 1.0013,                 1.0621,               0.001579,               0.001579,               0.001579
                     67,                 1.1616,                0.93591,                 1.0598,                  0.874,                      1,                  0.995,                0.74625,                 1.1488,                0.96488,                 1.0496,              0.0015776,              0.0015776,              0.0015776
                     68,                 1.1313,                0.93209,                 1.0507,                0.96276,                      1,                  0.995,                 0.6965,                 1.1341,                0.96373,                 1.0377,              0.0015762,              0.0015762,              0.0015762
                     69,                 1.1542,                0.91528,                 1.0548,                0.96276,                      1,                  0.995,                 0.6965,                 1.1341,                0.96373,                 1.0377,              0.0015749,              0.0015749,              0.0015749
                     70,                 1.0315,                0.84782,                0.98408,                0.95356,                      1,                  0.995,                 0.6965,                 1.1674,                 1.3272,                 1.0578,              0.0015735,              0.0015735,              0.0015735
                     71,                 1.0844,                0.93682,                 1.0218,                0.95503,                      1,                  0.995,                0.74625,                  1.209,                 1.1466,                 1.0775,              0.0015721,              0.0015721,              0.0015721
                     72,                 1.1621,                0.87666,                 1.0112,                0.96845,                      1,                  0.995,                0.74625,                 1.1098,                0.94961,                 1.0718,              0.0015707,              0.0015707,              0.0015707
                     73,                  1.054,                  0.904,                 1.0168,                0.96845,                      1,                  0.995,                0.74625,                 1.1098,                0.94961,                 1.0718,              0.0015694,              0.0015694,              0.0015694
                     74,                 1.0709,                 0.8368,                 1.0217,                0.94718,                      1,                  0.995,                0.74625,                 1.1179,                 0.8574,                 1.0675,               0.001568,               0.001568,               0.001568
                     75,                 1.0504,                0.83838,                  1.022,                 0.9502,                      1,                  0.995,                0.74625,                 1.2565,                0.86556,                 1.1372,              0.0015666,              0.0015666,              0.0015666
                     76,                 1.0706,                0.85023,                 1.0256,                0.95886,                      1,                  0.995,                0.64675,                 1.4021,                0.91858,                 1.2335,              0.0015652,              0.0015652,              0.0015652
                     77,                 1.1005,                 0.8847,                 1.0143,                0.95886,                      1,                  0.995,                0.64675,                 1.4021,                0.91858,                 1.2335,              0.0015639,              0.0015639,              0.0015639
                     78,                 1.1069,                0.86216,                 1.0329,                0.91059,                      1,                  0.995,                0.64675,                 1.4701,                0.98272,                 1.3188,              0.0015625,              0.0015625,              0.0015625
                     79,                  1.066,                0.85882,                 1.0023,                0.92588,                      1,                  0.995,                0.64675,                 1.2888,                0.91036,                 1.1983,              0.0015611,              0.0015611,              0.0015611
                     80,                 1.0507,                0.82423,                 1.0155,                0.96134,                      1,                  0.995,                0.64675,                 1.3865,                0.86544,                  1.176,              0.0015597,              0.0015597,              0.0015597
                     81,                 1.0327,                0.82329,                 1.0358,                0.96134,                      1,                  0.995,                0.64675,                 1.3865,                0.86544,                  1.176,              0.0015584,              0.0015584,              0.0015584
                     82,                 1.0977,                0.80883,                  1.059,                0.95409,                      1,                  0.995,                0.64675,                 1.3717,                0.97746,                 1.1522,               0.001557,               0.001557,               0.001557
                     83,                 1.0759,                0.88242,                 1.0256,                0.95119,                      1,                  0.995,                0.64675,                 1.3848,                0.90266,                 1.1506,              0.0015556,              0.0015556,              0.0015556
                     84,                 1.1151,                0.84851,                  1.051,                 0.9336,                      1,                  0.995,                0.64675,                 1.5984,                0.92006,                 1.2147,              0.0015542,              0.0015542,              0.0015542
                     85,                  1.125,                0.82161,                 1.0384,                 0.9336,                      1,                  0.995,                0.64675,                 1.5984,                0.92006,                 1.2147,              0.0015529,              0.0015529,              0.0015529
                     86,                  1.121,                0.80808,                 1.0269,                0.88554,                      1,                  0.995,                0.54725,                 1.6259,                 1.0469,                 1.2634,              0.0015515,              0.0015515,              0.0015515
                     87,                 1.0981,                0.79575,                 1.0256,                0.85254,                      1,                  0.995,                0.64675,                 1.4332,                 1.5834,                 1.2306,              0.0015501,              0.0015501,              0.0015501
                     88,                 1.1561,                 0.7828,                 1.0659,                0.65631,                      1,                  0.995,                0.64675,                 1.3281,                 2.5164,                 1.1866,              0.0015487,              0.0015487,              0.0015487
